name,B,A
Cable Rope Tricep Extension,e0011,1001
Skull Crushers,e0012,1006
Skull Crushers,e0012,1023
Machine Tricep Extension,e0013,1001
Tate Press,e0014,1023
Tate Press,e0014,1010
Cobra Press,e0015,1002
Barbell Bench Press,e0016,1024
Barbell Incline Press,e0017,1025
Smith Machine Bench Press,e0018,1003
Cable Crossover ,e0019,1004
Machine Fly,e0020,1005
Push Up,e0021,1002
EZ-Bar Curl,e0022,1006
Hammer Curls,e0023,1010
Incline Dumbbell Curls,e0024,1023
Incline Dumbbell Curls,e0024,1010
Dumbbell Curls,e0025,1010
Preacher Curls,e0026,1006
Cable Preacher Curls,e0027,1001
Seated Leg Curl,e0028,1007
Deadlift,e0029,1008
Dumbbell Stiff Legged Deadlift,e0030,1010
Romanian Deadlift,e0031,1008
Goodmorning,e0032,1008
Ab Crunch Machine,e0033,1011
Vertical Leg Raise,e0034,1012
Crunches,e0035,1002
Vertical Knee Raise,e0036,1012
Decline Sit-Up,e0037,1023
Sit UP,e0038,1002
Lat Pulldown,e0039,1013
Dumbbell Row,e0040,1010
Dumbbell Row,e0040,1023
Cable Row,e0041,1028
Landmine Row,e0042,1008
Leg Extension,e0043,1015
Barbell Lunge,e0044,1008
Dumbell Single Leg Lunge,e0045,1023
Dumbell Single Leg Lunge,e0045,1010
Barbell Squat,e0046,1017
Machine Leg Press,e0047,1015
Glute Kickback Machine,e0048,1019
Kettlebell Swing American,e0049,1020
Stability Ball Hip Bridge,e0050,1021
Smith Machine Glute Bridge,e0051,1003
Smith Machine Glute Bridge,e0051,1023
Mini Loop Fire Hydrant,e0052,1022
Hip Thrust,e0053,1002
Cable Lateral Raise,e0054,1001
Dumbbell Lateral Raise,e0055,1010
Dumbbell Front Raise,e0056,1010
Dumbbell Shoulder Press,e0057,1010
Dumbbell Back Fly,e0058,1023
Dumbbell Back Fly,e0058,1010
Barbell Shrug,e0059,1008
Barbell Behind the Back Shrug,e0060,1008
Smith Machine Shrug,e0061,1003
Dumbbell Shrug,e0062,1010
Cable Upright Row,e0063,1001
Upright Row,e0064,1008
Palms Down Dumbbell Wrist Curl,e0065,1023
Palms Down Dumbbell Wrist Curl,e0065,1010
Palms Down Barbell Wrist Curl,e0066,1023
Palms Down Barbell Wrist Curl,e0066,1008
Palms Up Dumbbell Wrist Curl,e0067,1023
Palms Up Dumbbell Wrist Curl,e0067,1010
Palms Up Barbell Wrist Curl,e0068,1023
Palms Up Barbell Wrist Curl,e0068,1008
Handle Band Reverse Wrist Curl,e0069,1022
Machine Hip Adductor Machine,e0070,1026
Machine Hip Abductor Machine,e0071,1027
Calf Press,e0072,1018
Standing Dumbbell Calf Raise,e0073,1010
Standing Barbell Calf Raise,e0074,1008
Single Leg Standing Calf Raise,e0075,1002
Seated Back Extension,e0076,1033
Back Extensions,e0077,1002
Superman,e0078,1002
Shoulder Stretch,e0079,1002
Toe Touch,e0080,1002
Samson Stretch,e0081,1002
Butterfly Stretch,e0082,1002
Cobra Stretch,e0083,1002
Knees To Chest,e0084,1002
Cat Cow,e0085,1002
Calf Stretch,e0086,1002
Jog,e0087,1002
Bodyweight Squats,e0088,1002
Bodyweight Lunges,e0089,1002
Leg Swings,e0090,1002
Arm Circles,e0091,1002
Run,e0092,1030
Stair Stepper,e0093,1029
Jump Rope,e0094,1002
Sprint,e0095,1002
Walk,e0096,1030
Rowing,e0097,1032
Cycling,e0098,1031
Windmill ,e0099,1002
Bodyweight Squats,e0100,1002
Bodyweight Lunges,e0101,1002
Silent Burpee,e0102,1002
Burpee,e0103,1002
Mountain Climber,e0104,1002
Pull Up,e0105,1002
Flutter Kicks,e0106,1002
Shoulder Tap,e107,1002
Diamond Pushup,e108,1002
Bird Dog,e109,1002
Side Plank Hip Adduction,e110,1002
Side Bridge Hip Abduction,e111,1002
Bridge Hip Abduction,e112,1002
Glute Bridge,e113,1002
Single Leg Deadlift,e114,1002
Single Leg Calf Raise,e115,1002
Close Grip Bench Press,e117,1003
Machine-assisted Tricep Dip,e116,1035
Machine-assisted Chest Dip,e119,1035
Bench Dip,e118,1002
DB Bench Press,e120,1023